added Brazil\Distrito Federal at -15.77972,-47.92972 for isolate 2574
added China\Dongcheng at 34.46611,108.13722 for isolate 2587
added Ireland\Dublin at 53.34399,-6.26719 for isolate 2589
added China\Anyang at 36.09944,114.32889 for isolate 2602
added China\Fujian at 26.545,117.84278 for isolate 2603
added Hong Kong\Duck at 22.31667,114.3 for isolate 2604
added China\Hunan at 28.0,112.0 for isolate 2614
added Indonesia\Indramayu at -6.32639,108.32 for isolate 2616
added Indonesia\Pali at -3.0018,119.546 for isolate 2623
added Indonesia\Tabanan at -8.5,115.16667 for isolate 2625
added New Zealand\Dunedin at -45.87416,170.50361 for isolate 2647
added China\Dushan at 31.61306,116.21889 for isolate 2649
added India\Eastern India at 14.0,78.83333 for isolate 2650
added Turkey\Edirne-TR at 41.67719,26.55597 for isolate 2667
added China\Efang at 26.08159,115.26573 for isolate 2668
added Japan\Ehime at 33.6258,132.85472 for isolate 2803
added Russia\Ekaterinburg at 56.8575,60.6125 for isolate 2804
added Kenya\Eldoret at 0.51667,35.28333 for isolate 2805
added Kenya\Embu at -0.53333,37.45 for isolate 2807
added Turkey\Erzurum-TR at 39.90861,41.27694 for isolate 2824
added Iran\Esfahan at 32.65722,51.67761 for isolate 2825
added Spain\Extremadura at 39.0,-6.0 for isolate 2833
added Italy\Firenze at 43.76667,11.25 for isolate 3000
added Germany\Frankfurt at 50.11667,8.68333 for isolate 3084
added China\Fujian-Cangshan at 26.05,119.3 for isolate 3096
added China\Fujian-Fuzhou at 26.06139,119.30611 for isolate 3097
added China\Fujian-Gulou at 26.49625,117.43407 for isolate 3098
added China\Fujian-Licheng at 25.36944,118.68944 for isolate 3105
added China\Fujian-Shishi at 24.72338,118.70265 for isolate 3107
added China\Fujian-Siming at 24.46061,118.07389 for isolate 3110
added China\Fujian-Xiamen at 24.47979,118.08187 for isolate 3113
added China\Fujian-Yanping at 26.58839,118.23 for isolate 3114
added Japan\Fukui at 36.06443,136.22257 for isolate 3126
added Japan\Fukuoka at 33.60639,130.41806 for isolate 3130
added Japan\Fukushima at 37.75,140.46778 for isolate 3131
added China\Fuzhou at 26.06139,119.30611 for isolate 3134
added Spain\Galicia at 42.75508,-7.86621 for isolate 3136
added South Korea\Gangwon at 37.35139,127.94528 for isolate 3137
added China\Gansu-Chengguan at 35.99199,103.86965 for isolate 3144
added China\Gansu-Maiji at 34.3,106.05 for isolate 3153
added China\Gansu at 36.05639,103.79222 for isolate 3156
added Kenya\Garissa at -0.45355,39.64011 for isolate 3160
added Poland\Gdansk at 54.35205,18.64637 for isolate 3162
added Switzerland\Geneva at 46.20222,6.14569 for isolate 3164
added Germany\Germany-BY at 50.9884,10.2701 for isolate 3210
added Iran\Ghom at 34.6401,50.8764 for isolate 3248
added Greece\Giannitsa at 40.79194,22.4075 for isolate 3249
added China\Guangdong at 21.32256,110.58291 for isolate 3252
added China\Huadong at 23.44111,113.32448 for isolate 3263
added Papua New Guinea\Goroka at -6.05,145.38333 for isolate 3265
added Belarus\Grodno at 53.68139,23.81472 for isolate 3270
added Netherlands\Groningen at 53.21917,6.56667 for isolate 3272
added China\Guangdong-Futian at 23.20919,115.98756 for isolate 3311
added China\Guangdong-Haizhu at 23.10056,113.25222 for isolate 3316
added China\Guangdong-Jinping at 23.36558,116.69761 for isolate 3317
added China\Guangdong-Liwan at 23.11556,113.23833 for isolate 3318
added China\Guangdong-Luohu at 22.55333,114.12639 for isolate 3321
added China\Guangdong-Maonan at 21.66167,110.88333 for isolate 3327
added China\Guangdong-Xuwen at 20.48322,110.12987 for isolate 3328
added China\Guangdong-Yuexiu at 23.12528,113.26528 for isolate 3329
added China\Guangdong-Yuncheng at 22.93015,112.0386 for isolate 3331
added China\Guangxi-Xingning at 23.56833,107.68056 for isolate 3452
added China\Guangxi-Xixiangtang at 22.83333,108.23333 for isolate 3453
added China\Guangxi at 24.0,109.0 for isolate 3459
added China\Guangzhou at 23.11667,113.25 for isolate 3463
added Ecuador\Guayaquil at -2.16667,-79.9 for isolate 3481
added China\Gui at 26.58333,106.71667 for isolate 3486
added Romania\Constanta at 44.18333,28.65 for isolate 3495
added China\Guizhou-Yunyan at 26.64408,106.70845 for isolate 3497
added China\Guizhou at 27.0,107.0 for isolate 3498
